Altium Designer Pick and Place Locations
C:\Users\podonoghue\Documents\Development\CPLD_Tester\Hardware\Project Outputs for CPLDTester\Pick Place for CPLDTester.csv

========================================================================================================================
File Design Information:

Date:       07/12/19
Time:       00:56
Revision:   c343c3d4ed79163b6a560e8fc5dfe039d88f02a9
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation"
"C1","CCNP1608-0603","83.6930","48.2600","83.6930","48.2600","83.6930","47.4100","TopLayer","90"
"C2","CCNP1608-0603","66.5480","53.3400","66.5480","53.3400","66.5480","52.4900","TopLayer","90"
"C3","CCNP1608-0603","59.9440","53.3400","59.9440","53.3400","59.9440","52.4900","TopLayer","90"
"C4","CCNP1608-0603","63.6660","50.8000","63.6660","50.8000","62.8160","50.8000","TopLayer","360"
"C5","CCNP1608-0603","55.8800","61.2140","55.8800","61.2140","56.7300","61.2140","TopLayer","180"
"C6","CCNP1608-0603","75.6920","53.3400","75.6920","53.3400","75.6920","52.4900","TopLayer","90"
"C7","CCNP1608-0603","69.0880","53.3400","69.0880","53.3400","69.0880","52.4900","TopLayer","90"
"C8","CCNP1608-0603","72.7710","50.8000","72.7710","50.8000","71.9210","50.8000","TopLayer","360"
"Clock","PCBPIN_-_0.9mm","95.2500","63.3730","95.2500","63.3730","95.2500","63.3730","TopLayer","360"
"D1","LED1608-0603-RED","95.3770","70.3580","95.3770","70.3580","96.2270","70.3580","TopLayer","360"
"D2","LED1608-0603-RED","95.3770","72.8980","95.3770","72.8980","96.2270","72.8980","TopLayer","360"
"D3","LED1608-0603-RED","95.3770","75.4380","95.3770","75.4380","96.2270","75.4380","TopLayer","360"
"D5","LED1608-0603-RED","68.0720","48.1330","68.0720","48.1330","67.2220","48.1330","TopLayer","180"
"D6","LED1608-0603-RED","78.9060","48.1330","78.9060","48.1330","78.0560","48.1330","TopLayer","180"
"D7","LED1608-0603-RED","95.3770","77.9780","95.3770","77.9780","96.2270","77.9780","TopLayer","360"
"D8","LED1608-0603-RED","51.9820","72.8980","51.9820","72.8980","51.1320","72.8980","TopLayer","180"
"D9","LED1608-0603-RED","95.3770","80.5180","95.3770","80.5180","96.2270","80.5180","TopLayer","360"
"D10","LED1608-0603-RED","51.9820","75.4380","51.9820","75.4380","51.1320","75.4380","TopLayer","180"
